second;engine speed (rpm);vehicle speed (km/h);engine temperature (C);Fuel Amount (L);CO2 Emission;CoolantTemp;Torque;KmPerLiter
1;0;0;0;60;56;124;119;8.38
2;187,5;15;28,125;59,99622027;75;104;163;6.38
3;937,5;75;140,625;59,9773216;55;136;157;12.52
4;1062,5;85;159,375;59,9559031;97;93;185;6.69
5;1125;90;168,75;59,9332247;76;122;188;9.82
6;1125;90;168,75;59,9105463;99;115;137;7.99
7;1125;90;168,75;59,88786789;63;111;110;9.04
8;1125;90;168,75;59,86518949;61;139;179;12.54
9;1125;90;168,75;59,84251109;94;125;140;11.93
10;1250;100;187,5;59,81731286;66;106;147;11.01
11;1250;100;187,5;59,79211464;95;90;149;10.8
12;1250;100;187,5;59,76691641;89;94;169;12.28
13;1250;100;187,5;59,74171818;72;122;199;9.02
14;1250;100;187,5;59,71651996;83;143;193;12.9
15;1250;100;187,5;59,69132173;92;103;188;9.56
16;600;48;90;59,67922658;90;131;121;8.07
17;600;48;90;59,66713143;69;129;125;11.12
18;600;48;90;59,65503629;70;143;123;8.96
19;437,5;35;65,625;59,64621691;62;112;156;11.25
20;275;22;41,25;59,6406733;52;120;170;12.09
21;837,5;67;125,625;59,62379049;74;110;142;11.17
22;837,5;67;125,625;59,60690767;81;102;134;10.74
23;1087,5;87;163,125;59,58498522;80;90;188;9.23
24;1087,5;87;163,125;59,56306276;73;140;168;11.99
25;1087,5;87;163,125;59,5411403;54;93;107;10.23
26;1087,5;87;163,125;59,51921785;85;101;101;10.73
27;1087,5;87;163,125;59,49729539;86;100;123;10.03
28;537,5;43;80,625;59,48646015;74;95;138;6.79
29;287,5;23;43,125;59,48066456;64;142;106;11.1
30;700;56;105;59,46655355;68;111;158;9.71
31;975;78;146,25;59,44689894;95;115;175;6.96
32;975;78;146,25;59,42724432;68;135;177;9.45
33;975;78;146,25;59,40758971;52;106;181;10.45
34;975;78;146,25;59,38793509;66;129;132;8.68
35;975;78;146,25;59,36828047;97;90;183;12.69
36;1225;98;183,75;59,34358621;95;142;119;8.46
37;1225;98;183,75;59,31889195;98;131;147;6.73
38;1225;98;183,75;59,29419769;80;104;193;8.26
39;1225;98;183,75;59,26950343;53;110;145;9.13
40;950;76;142,5;59,25035278;72;130;118;7.32
41;950;76;142,5;59,23120212;57;130;124;8.78
42;950;76;142,5;59,21205147;67;149;104;12.34
43;700;56;105;59,19794046;81;98;109;9.76
44;700;56;105;59,18382946;98;91;111;7.0
45;700;56;105;59,16971845;72;103;100;8.16
46;562,5;45;84,375;59,15837925;52;119;108;12.88
47;562,5;45;84,375;59,14704005;56;114;118;12.37
48;150;12;22,5;59,14401626;82;123;159;7.24
49;287,5;23;43,125;59,13822067;94;148;143;10.46
50;425;34;63,75;59,12965327;74;113;173;9.81
51;562,5;45;84,375;59,11831407;78;107;149;7.31
52;812,5;65;121,875;59,10193522;57;115;169;9.02
53;1000;80;150;59,08177664;73;95;148;11.71
54;1000;80;150;59,06161806;60;114;108;12.77
55;1000;80;150;59,04145948;86;140;154;6.17
56;1000;80;150;59,0213009;66;101;119;11.56
57;1000;80;150;59,00114232;75;125;168;10.86
58;1087,5;87;163,125;58,97921986;86;103;170;8.18
59;1087,5;87;163,125;58,95729741;81;144;139;6.52
60;1087,5;87;163,125;58,93537495;52;111;123;8.09
61;1087,5;87;163,125;58,91345249;92;148;129;6.66
62;1150;92;172,5;58,89027012;95;91;142;6.98
63;1150;92;172,5;58,86708776;55;146;180;8.83
64;1162,5;93;174,375;58,84365341;98;115;194;10.06
65;1162,5;93;174,375;58,82021906;71;121;128;12.14
66;962,5;77;144,375;58,80081642;81;98;195;10.37
67;962,5;77;144,375;58,78141379;89;146;104;9.79
68;962,5;77;144,375;58,76201115;94;92;163;7.95
69;975;78;146,25;58,74235654;75;104;192;7.05
70;1087,5;87;163,125;58,72043408;90;116;106;9.17
71;1087,5;87;163,125;58,69851162;83;114;107;6.8
72;1087,5;87;163,125;58,67658917;63;138;178;10.26
73;1087,5;87;163,125;58,65466671;56;90;154;8.95
74;1087,5;87;163,125;58,63274425;50;130;133;7.71
75;1087,5;87;163,125;58,6108218;81;135;149;12.35
76;1087,5;87;163,125;58,58889934;57;90;181;8.42
77;975;78;146,25;58,56924473;67;115;151;6.58
78;975;78;146,25;58,54959011;83;104;101;11.64
79;975;78;146,25;58,52993549;52;135;172;9.76
80;975;78;146,25;58,51028088;97;142;172;8.69
81;875;70;131,25;58,49264212;61;137;101;9.82
82;875;70;131,25;58,47500336;56;97;143;9.97
83;875;70;131,25;58,4573646;57;130;154;8.68
84;875;70;131,25;58,43972584;92;120;152;11.51
85;875;70;131,25;58,42208709;56;96;197;11.14
86;812,5;65;121,875;58,40570824;58;120;153;7.29
87;812,5;65;121,875;58,38932939;86;140;129;9.51
88;812,5;65;121,875;58,37295054;51;93;154;10.81
89;812,5;65;121,875;58,3565717;55;97;172;11.18
90;812,5;65;121,875;58,34019285;54;107;108;7.24
91;812,5;65;121,875;58,323814;72;98;108;7.02
92;750;60;112,5;58,30869507;99;114;142;9.26
93;750;60;112,5;58,29357613;63;96;121;7.71
94;750;60;112,5;58,2784572;78;147;185;8.16
95;750;60;112,5;58,26333826;58;90;115;6.31
96;750;60;112,5;58,24821933;84;102;128;10.21
97;875;70;131,25;58,23058057;88;105;109;10.52
98;875;70;131,25;58,21294181;60;103;133;8.95
99;875;70;131,25;58,19530305;81;138;119;9.24
100;875;70;131,25;58,17766429;53;119;199;10.59
101;875;70;131,25;58,16002553;90;119;127;8.38
102;875;70;131,25;58,14238678;60;145;191;11.6
103;875;70;131,25;58,12474802;83;100;129;8.94
104;875;70;131,25;58,10710926;74;95;116;10.27
105;875;70;131,25;58,0894705;91;119;187;11.55
106;875;70;131,25;58,07183174;63;103;146;10.14
107;812,5;65;121,875;58,0554529;50;99;108;9.2
108;812,5;65;121,875;58,03907405;94;95;102;9.32
109;812,5;65;121,875;58,0226952;86;92;133;7.62
110;812,5;65;121,875;58,00631636;65;131;188;6.67
111;562,5;45;84,375;57,99497715;54;90;169;8.95
112;562,5;45;84,375;57,98363795;52;148;167;6.53
113;562,5;45;84,375;57,97229875;56;148;113;6.11
114;562,5;45;84,375;57,96095955;77;131;117;7.63
115;562,5;45;84,375;57,94962035;58;115;147;11.26
116;187,5;15;28,125;57,94584061;84;149;157;7.2
117;187,5;15;28,125;57,94206088;54;119;102;8.01
118;562,5;45;84,375;57,93072168;74;112;180;6.93
119;687,5;55;103,125;57,91686265;58;125;114;6.85
120;687,5;55;103,125;57,90300363;89;109;148;10.08
121;687,5;55;103,125;57,8891446;77;149;105;9.99
122;812,5;65;121,875;57,87276576;92;102;112;6.06
123;812,5;65;121,875;57,85638691;56;114;122;11.13
124;812,5;65;121,875;57,84000806;91;145;183;12.9
125;812,5;65;121,875;57,82362922;51;110;138;6.41
126;812,5;65;121,875;57,80725037;62;93;121;7.08
127;812,5;65;121,875;57,79087152;53;122;140;8.96
128;812,5;65;121,875;57,77449268;83;103;121;10.4
129;950;76;142,5;57,75534202;80;125;178;12.04
130;950;76;142,5;57,73619137;63;131;134;9.52
131;950;76;142,5;57,71704072;52;128;132;10.51
132;950;76;142,5;57,69789007;67;99;109;12.95
133;962,5;77;144,375;57,67848743;72;91;132;11.4
134;962,5;77;144,375;57,6590848;60;102;110;11.73
135;962,5;77;144,375;57,63968217;67;116;113;10.44
136;962,5;77;144,375;57,62027953;68;142;175;12.44
137;962,5;77;144,375;57,6008769;69;126;137;7.54
138;1087,5;87;163,125;57,57895444;89;145;118;8.34
139;1087,5;87;163,125;57,55703198;51;132;191;6.3
140;1087,5;87;163,125;57,53510953;97;145;191;9.31
141;1087,5;87;163,125;57,51318707;56;97;161;7.41
142;712,5;57;106,875;57,49882408;70;94;114;7.39
143;712,5;57;106,875;57,48446109;81;121;187;9.05
144;712,5;57;106,875;57,47009811;53;132;109;6.45
145;712,5;57;106,875;57,45573512;83;99;145;7.92
146;712,5;57;106,875;57,44137213;55;95;100;6.03
147;812,5;65;121,875;57,42499328;64;100;129;8.88
148;812,5;65;121,875;57,40861443;83;121;170;9.71
149;812,5;65;121,875;57,39223559;75;96;167;10.48
150;975;78;146,25;57,37258097;81;103;191;6.94
151;975;78;146,25;57,35292635;81;93;107;7.1
152;975;78;146,25;57,33327174;58;100;185;11.15
153;975;78;146,25;57,31361712;63;92;118;9.17
154;975;78;146,25;57,29396251;94;103;174;12.24
155;975;78;146,25;57,27430789;56;92;190;12.14
156;975;78;146,25;57,25465327;73;92;129;8.88
157;937,5;75;140,625;57,2357546;78;131;139;11.41
158;937,5;75;140,625;57,21685593;99;131;173;12.16
159;937,5;75;140,625;57,19795726;53;131;107;8.3
160;937,5;75;140,625;57,17905859;96;103;151;10.16
161;937,5;75;140,625;57,16015992;72;99;105;9.24
162;812,5;65;121,875;57,14378108;82;107;172;12.76
163;812,5;65;121,875;57,12740223;86;98;176;6.37
164;812,5;65;121,875;57,11102338;63;128;102;11.0
165;812,5;65;121,875;57,09464454;80;97;134;9.14
166;700;56;105;57,08053353;99;95;122;12.56
167;700;56;105;57,06642252;53;101;128;11.65
168;700;56;105;57,05231152;81;139;139;6.03
169;700;56;105;57,03820051;78;130;146;12.16
170;700;56;105;57,0240895;61;131;186;11.84
171;700;56;105;57,0099785;50;144;120;12.74
172;575;46;86,25;56,99838731;59;118;152;12.62
173;575;46;86,25;56,98679613;98;130;140;10.86
174;575;46;86,25;56,97520495;66;103;105;9.31
175;712,5;57;106,875;56,96084196;66;145;116;10.14
176;712,5;57;106,875;56,94647897;76;134;184;8.67
177;712,5;57;106,875;56,93211598;89;96;127;11.11
178;712,5;57;106,875;56,91775299;65;120;188;12.57
179;712,5;57;106,875;56,90339;82;111;160;12.64
180;825;66;123,75;56,88675917;66;111;188;7.62
181;825;66;123,75;56,87012834;92;105;144;11.69
182;825;66;123,75;56,85349751;56;115;117;11.45
183;825;66;123,75;56,83686668;92;144;129;10.75
184;825;66;123,75;56,82023586;61;110;161;8.52
185;950;76;142,5;56,8010852;65;123;119;8.8
